Name	Longitude	Latitude
CHB	116.383333	39.91667
JPT	139.68	35.68
CHS	113.266667	23.13333
CDX	100.78	22.0
KHV	106.68	10.78
CEU	-111.8904	40.767
TSI	12.0	42.1
GBR	-1.890401	52.48624
FIN	24.93	60.17
IBS	-3.72	40.38
YRI	3.92	7.4
LWK	36.61	-1.27
GWD	-16.579032	13.45488
MSL	-13.23	8.48
ESN	7.483333	9.06666
ASW	-97.53333	35.483
ACB	-59.62	13.1
MXL	-118.2439	34.0544
PUR	-66.1	18.4
CLM	-74.066666	4.58333
PEL	-77.03	-12.04
GIH	-95.3677	29.7589
PJL	74.357158	31.55461
BEB	90.35	23.7
STU	-1.890401	52.48624
ITU	-1.890401	52.48624
